id,title,category,commits,src_loc,start_time,end_time,loc,additions,deletions,src_additions,src_deletions,touched_test_files,touched_src_files
milestone_G01_48bca0a,Custom Completion Refactoring from Expression to Signature,Quality,71baeff;aeb5178;48bca0a,303,2025-07-24T14:21:58-04:00,2025-07-25T19:57:00-04:00,909,462,447,159,144,,crates/nu-cli/src/completions/completer.rs;crates/nu-engine/src/documentation.rs;crates/nu-engine/src/scope.rs;crates/nu-parser/src/flatten.rs;crates/nu-parser/src/parse_keywords.rs;crates/nu-parser/src/parse_shape_specs.rs;crates/nu-parser/src/parser.rs;crates/nu-protocol/src/ast/expression.rs;crates/nu-protocol/src/signature.rs;crates/nu-protocol/src/syntax_shape.rs
milestone_G01_d96dbbd,Command-wide Completions System,Feature,d96dbbd;8229ccb;abb52df;ed2d6bf,1073,2025-09-12T14:54:39-04:00,2025-10-12T17:35:51-04:00,1129,732,397,704,369,,crates/nu-cli/src/completions/command_completions.rs;crates/nu-cli/src/completions/completer.rs;crates/nu-cli/src/completions/custom_completions.rs;crates/nu-cli/src/completions/dotnu_completions.rs;crates/nu-cli/src/completions/file_completions.rs;crates/nu-cli/src/completions/mod.rs;crates/nu-cmd-lang/src/core_commands/attr/complete.rs;crates/nu-cmd-lang/src/core_commands/attr/mod.rs;crates/nu-cmd-lang/src/default_context.rs;crates/nu-engine/src/scope.rs;crates/nu-lsp/src/completion.rs;crates/nu-parser/src/parse_keywords.rs;crates/nu-protocol/src/ast/traverse.rs;crates/nu-protocol/src/signature.rs
milestone_G02_da9615f,Parse-time Pipeline Type Checking for Multiple Output Types,Quality,da9615f,186,2025-08-02T09:35:25+08:00,2025-08-02T09:35:25+08:00,186,104,82,104,82,tests/repl/test_type_check.rs,crates/nu-command/src/conversions/into/datetime.rs;crates/nu-command/src/conversions/into/duration.rs;crates/nu-engine/src/eval_ir.rs;crates/nu-parser/src/type_check.rs;crates/nu-protocol/src/errors/parse_error.rs;crates/nu-protocol/src/ty.rs
milestone_G02_0f505d0,Type Detection Command Redesign,Feature,0f505d0;c4eca64,1405,2025-09-23T18:19:14+02:00,2025-10-07T18:19:26+03:00,1417,754,663,748,657,,crates/nu-cmd-extra/src/extra/filters/update_cells.rs;crates/nu-command/src/conversions/into/value.rs;crates/nu-command/src/default_context.rs;crates/nu-command/src/filesystem/save.rs;crates/nu-command/src/generators/seq_date.rs;crates/nu-command/src/math/abs.rs;crates/nu-command/src/math/ceil.rs;crates/nu-command/src/math/floor.rs;crates/nu-command/src/math/log.rs;crates/nu-command/src/math/round.rs;crates/nu-command/src/math/sqrt.rs;crates/nu-command/src/strings/detect_type.rs;crates/nu-command/src/strings/mod.rs;crates/nu_plugin_polars/src/dataframe/command/datetime/as_datetime.rs;crates/nu_plugin_polars/src/dataframe/command/datetime/replace_time_zone.rs;crates/nu_plugin_polars/src/dataframe/values/nu_dtype/mod.rs;src/command_context.rs
milestone_G04_1ddae02,Query XML Multiple Output Types and Enhanced Nodeset Formatting,Breaking,1ddae02;aea3309;778601b;258a7f6,451,2025-08-18T06:34:57-05:00,2025-08-19T16:39:30-05:00,493,417,76,396,55,,crates/nu_plugin_query/src/query_xml.rs
milestone_G05_ac3f93f,Format Bits Output Changed to Big Endian,Breaking,ac3f93f;e92ca01,76,2025-08-21T10:27:39-04:00,2025-09-05T16:52:30-05:00,84,69,15,65,11,,crates/nu-cmd-extra/src/extra/strings/format/bits.rs
milestone_G05_0b8531e,Well-Optimized String Types Infrastructure,Maintenance,0b8531e;a08e1f6;05a8c46,1002,2025-08-16T18:01:38+02:00,2025-09-07T23:33:08+03:00,1037,851,186,816,186,,crates/nu-protocol/src/pipeline/byte_stream.rs;crates/nu-protocol/src/value/mod.rs;crates/nu-utils/Cargo.toml;crates/nu-utils/src/lib.rs;crates/nu-utils/src/multilife.rs;crates/nu-utils/src/nu_cow.rs;crates/nu-utils/src/split_read.rs;crates/nu-utils/src/strings/mod.rs;crates/nu-utils/src/strings/shared.rs;crates/nu-utils/src/strings/unique.rs
milestone_G05_08822b5,Introduction of MCP Server Support,Feature,08822b5;b07f227;455b797;8352cf7;146d1f4;d9f877d;e0c11f5;da141be,1015,2025-09-24T08:45:52-07:00,2025-10-15T13:46:40+02:00,1678,1300,378,822,193,,crates/nu-cli/Cargo.toml;crates/nu-cmd-base/Cargo.toml;crates/nu-cmd-extra/Cargo.toml;crates/nu-cmd-lang/Cargo.toml;crates/nu-cmd-plugin/Cargo.toml;crates/nu-color-config/Cargo.toml;crates/nu-command/Cargo.toml;crates/nu-derive-value/Cargo.toml;crates/nu-engine/Cargo.toml;crates/nu-experimental/Cargo.toml;crates/nu-explore/Cargo.toml;crates/nu-glob/Cargo.toml;crates/nu-json/Cargo.toml;crates/nu-lsp/Cargo.toml;crates/nu-mcp/Cargo.toml;crates/nu-mcp/README.md;crates/nu-mcp/src/evaluation.rs;crates/nu-mcp/src/lib.rs;crates/nu-mcp/src/server.rs;crates/nu-parser/Cargo.toml;crates/nu-path/Cargo.toml;crates/nu-plugin-core/Cargo.toml;crates/nu-plugin-engine/Cargo.toml;crates/nu-plugin-protocol/Cargo.toml;crates/nu-plugin-test-support/Cargo.toml;crates/nu-plugin/Cargo.toml;crates/nu-pretty-hex/Cargo.toml;crates/nu-protocol/Cargo.toml;crates/nu-std/Cargo.toml;crates/nu-system/Cargo.toml;crates/nu-table/Cargo.toml;crates/nu-term-grid/Cargo.toml;crates/nu-test-support/Cargo.toml;crates/nu-utils/Cargo.toml;crates/nu-utils/src/default_files/default_config.nu;crates/nu-utils/src/default_files/default_env.nu;crates/nu-utils/src/default_files/doc_config.nu;crates/nu-utils/src/default_files/doc_env.nu;crates/nu-utils/src/default_files/scaffold_config.nu;crates/nu-utils/src/default_files/scaffold_env.nu;crates/nu_plugin_custom_values/Cargo.toml;crates/nu_plugin_example/Cargo.toml;crates/nu_plugin_formats/Cargo.toml;crates/nu_plugin_gstat/Cargo.toml;crates/nu_plugin_inc/Cargo.toml;crates/nu_plugin_nu_example/nu_plugin_nu_example.nu;crates/nu_plugin_polars/Cargo.toml;crates/nu_plugin_python/nu_plugin_python_example.py;crates/nu_plugin_query/Cargo.toml;crates/nu_plugin_stress_internals/Cargo.toml;crates/nuon/Cargo.toml;src/command.rs;src/main.rs
milestone_G05_be6e868,LSP Testing Code Refactoring,Quality,5ce9c38;be6e868;46be984;d1a8249,3036,2025-08-19T17:15:14+08:00,2025-09-18T15:55:17+08:00,3132,1093,2039,1044,1992,tests/fixtures/lsp/completion/var.nu;tests/fixtures/lsp/goto/use_module.nu,crates/nu-lsp/Cargo.toml;crates/nu-lsp/src/completion.rs;crates/nu-lsp/src/diagnostics.rs;crates/nu-lsp/src/goto.rs;crates/nu-lsp/src/hints.rs;crates/nu-lsp/src/hover.rs;crates/nu-lsp/src/lib.rs;crates/nu-lsp/src/notification.rs;crates/nu-lsp/src/semantic_tokens.rs;crates/nu-lsp/src/signature.rs;crates/nu-lsp/src/symbols.rs;crates/nu-lsp/src/workspace.rs
milestone_M01_deps,Dependency Version Bumps,Maintenance,968273b;58b6ad7;12318c6;9029f92;f102448;b4b1fb1;19d4f00;eecb4dd;0ec5d39;b3bec50;007b223,90,2025-08-27T14:49:12+02:00,2025-10-11T16:42:14+02:00,512,309,203,45,45,,crates/nu-cmd-lang/Cargo.toml;crates/nu-command/src/bytes/add.rs;crates/nu-command/src/conversions/into/filesize.rs;crates/nu-command/src/database/values/sqlite.rs;crates/nu-command/src/formats/to/xml.rs;crates/nu-command/src/network/http/client.rs;crates/nu-command/src/strings/format/date.rs;crates/nu-command/src/strings/guess_width.rs;crates/nu-command/src/viewers/table.rs;crates/nu-pretty-hex/Cargo.toml;crates/nu-protocol/Cargo.toml;crates/nu-protocol/src/errors/parse_warning.rs;crates/nu-protocol/src/errors/shell_warning.rs;crates/nu-system/src/windows.rs;crates/nu-test-support/src/macros.rs;crates/nu_plugin_formats/Cargo.toml;crates/nu_plugin_polars/Cargo.toml;crates/nu_plugin_query/Cargo.toml
