mstone_id	pass_to_pass	pass_to_fail	fail_to_pass	fail_to_fail	none_to_pass	none_to_fail	none/fail_to_pass		total_before	total_after	new_total	removed_total	skip_total	to_skip_total	flaky_total	error_total		skip_to_pass	skip_to_fail	skip_to_skip	pass_to_skip	fail_to_skip	flaky_start	flaky_end	errors_start	errors_end	attempts		total_patched_tests	collected_patched_tests
M001	2477	0	0	9	369	0	369		2711	2855	369	225	0	0	0	0		0	0	0	0	0	0	0	0	0	3		7	7
M005	2148	0	1	3	196	1	197		2341	2349	197	189	0	0	0	0		0	0	0	0	0	0	0	0	0	3		4	4
M007.1	1868	0	0	7	199	0	199		2043	2074	199	168	0	0	1	0		0	0	0	0	0	1	1	0	0	3		8	8
M008	1472	0	0	9	231	0	231		1676	1712	231	195	0	0	0	0		0	0	0	0	0	0	0	0	0	3		6	6
M009	1310	0	9	29	199	0	208		1516	1547	199	168	0	0	0	0		0	0	0	0	0	0	0	0	0	3		32	30
M013	1290	0	0	27	211	0	211		1485	1528	211	168	0	0	0	0		0	0	0	0	0	0	0	0	0	3		12	12
M023	1343	0	2	36	246	1	248		1549	1628	247	168	0	0	1	0		0	0	0	0	0	0	1	0	0	3		75	70
M017	1296	0	3	37	168	0	171		1645	1509	168	304	5	0	0	0		1	0	4	0	0	0	0	0	0	3		17	4
M004	2257	0	0	1	283	1	283		2499	2542	284	241	0	0	0	0		0	0	0	0	0	0	0	0	0	3		9	7
M003	2342	0	0	6	407	0	407		2594	2755	407	246	0	0	0	0		0	0	0	0	0	0	0	0	0	3		31	30
M018	1340	0	0	20	311	2	311		1531	1673	313	171	0	0	0	0		0	0	0	0	0	0	0	0	0	3		34	30
M019	1453	0	3	10	910	7	913		1639	2388	918	169	4	0	0	0		0	0	4	0	0	0	0	0	0	3		12	11
M007.2	2036	0	6	13	269	0	275		2259	2324	269	204	0	0	0	0		0	0	0	0	0	0	0	0	0	3		21	21
M010	2149	0	0	31	396	4	396		2384	2580	400	204	0	0	0	0		0	0	0	0	0	0	0	0	0	3		29	27
M024	1327	0	1	37	253	0	254		1533	1618	253	168	0	0	0	0		0	0	0	0	0	0	0	0	0	3		12	12
M025	1675	0	0	21	178	0	178		1867	1874	178	171	0	0	0	0		0	0	0	0	0	0	0	0	0	3		6	5
M026	2120	0	3	28	222	0	225		2373	2373	222	222	0	0	1	0		0	0	0	0	0	0	1	0	0	3		2	2
M021	1324	0	1	20	186	0	187		1513	1531	186	168	0	0	0	0		0	0	0	0	0	0	0	0	0	3		8	8
M020	1430	0	8	16	212	0	220		1622	1666	212	168	0	0	0	0		0	0	0	0	0	0	0	0	0	3		30	30
M014	2151	0	0	15	240	0	240		2391	2406	240	225	0	0	0	0		0	0	0	0	0	0	0	0	0	3		8	8
M022	2211	0	0	25	215	0	215		2428	2451	215	192	0	0	0	0		0	0	0	0	0	0	0	0	0	3		7	7
M027	2417	0	0	5	225	0	225		2647	2647	225	225	0	0	0	0		0	0	0	0	0	0	0	0	0	3		0	0
M028	2232	0	13	16	631	3	644		2484	2895	634	223	0	0	0	0		0	0	0	0	0	0	0	0	0	3		35	30
