mstone_id	pass_to_pass	pass_to_fail	fail_to_pass	fail_to_fail	none_to_pass	none_to_fail	none/fail_to_pass		total_before	total_after	new_total	removed_total	skip_total	to_skip_total	flaky_total	error_total		skip_to_pass	skip_to_fail	skip_to_skip	pass_to_skip	fail_to_skip	flaky_start	flaky_end	errors_start	errors_end	attempts		total_patched_tests	collected_patched_tests
milestone_seed_119407d_1_sub-01	1084	0	0	7	0	0	0		1091	1091	0	0	0	0	1	0		0	0	0	0	0	1	1	0	0	3		0	0
milestone_seed_119407d_1_sub-02	1092	0	0	12	0	0	0		1104	1104	0	0	0	0	1	0		0	0	0	0	0	1	1	0	0	3		3	3
milestone_seed_292bc54_1	1084	0	1	7	0	0	1		1092	1092	0	0	0	0	1	0		0	0	0	0	0	1	1	0	0	3		5	5
milestone_seed_5f5da48_1_sub-01	1085	0	9	9	0	0	9		1103	1103	0	0	0	0	1	0		0	0	0	0	0	1	1	0	0	3		0	0
milestone_seed_5f5da48_1_sub-02	1103	0	1	12	9	0	10		1116	1125	9	0	0	0	1	0		0	0	0	0	0	1	1	0	0	3		2	2
milestone_seed_624bbf7_1	1092	0	0	11	0	0	0		1103	1103	0	0	0	0	1	0		0	0	0	0	0	1	1	0	0	3		1	1
milestone_seed_2924d0c_1	1094	0	0	14	1	0	1		1108	1109	1	0	0	0	1	0		0	0	0	0	0	1	1	0	0	3		0	0
milestone_seed_a6e0be3_1_sub-01	1090	0	0	13	8	0	8		1103	1111	8	0	0	0	1	0		0	0	0	0	0	1	1	0	0	3		9	9
milestone_seed_8c6595c_1	1098	0	2	16	0	0	2		1116	1116	0	0	0	0	2	0		0	0	0	0	0	2	2	0	0	3		2	2
milestone_seed_a6e0be3_1_sub-02	1103	0	0	13	0	0	0		1116	1116	0	0	0	0	1	0		0	0	0	0	0	1	1	0	0	3		3	3
milestone_seed_a60e62d_1	1092	0	0	12	0	0	0		1104	1104	0	0	0	0	1	0		0	0	0	0	0	1	1	0	0	1		0	0
milestone_seed_99fe884_1	422	0	0	11	0	0	0		433	433	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	1		1	1
maintenance_deps_1	1095	0	0	19	0	0	0		1114	1114	0	0	0	0	1	0		0	0	0	0	0	1	1	0	0	1		0	0
maintenance_releases_1	1096	0	0	18	0	0	0		1114	1114	0	0	0	0	1	0		0	0	0	0	0	1	1	0	0	1		0	0
maintenance_fixes_1_sub-01	1094	0	2	15	2	0	4		1111	1113	2	0	0	0	1	0		0	0	0	0	0	1	1	0	0	3		5	5
maintenance_fixes_1_sub-02	1096	0	7	12	0	0	7		1115	1115	0	0	0	0	1	0		0	0	0	0	0	1	1	0	0	3		9	9
maintenance_style_1	1100	0	0	7	0	0	0		1107	1107	0	0	0	0	1	0		0	0	0	0	0	1	1	0	0	3		2	2
milestone_seed_b610d1c_1	1105	0	1	10	0	0	1		1116	1116	0	0	0	0	1	0		0	0	0	0	0	1	1	0	0	3		1	1
milestone_seed_14f4957_1																0									0	0			8	0
milestone_seed_94ea38d_1																0									0	0			1	0
milestone_seed_75970fd_1																0									0	0			0	0
milestone_seed_53279db_1																0									0	0			0	0
milestone_seed_bf63fe8_1																0									0	0			0	0
maintenance_types_1																0									0	0			0	0
maintenance_docs_1																0									0	0			1	0
