mstone_id	pass_to_pass	pass_to_fail	fail_to_pass	fail_to_fail	none_to_pass	none_to_fail	none/fail_to_pass		total_before	total_after	new_total	removed_total	skip_total	to_skip_total	flaky_total	error_total		skip_to_pass	skip_to_fail	skip_to_skip	pass_to_skip	fail_to_skip	flaky_start	flaky_end	errors_start	errors_end	attempts		total_patched_tests	collected_patched_tests
M002	6954	0	0	1	12	0	12		7117	7122	12	7	152	0	0	0		0	0	152	0	0	0	0	0	0	3		0	0
M003.1	6957	0	0	1	1	0	1		7114	7115	1	0	153	0	0	0		0	0	153	0	0	0	0	0	0	3		0	0
M003.2	6923	0	0	9	5	0	5		7067	7066	5	6	126	0	0	6		0	0	126	0	0	0	0	3	3	3		0	0
M003.3	6934	0	18	10	5	0	23		7099	7095	5	9	126	0	0	24		0	0	126	0	0	0	0	21	3	3		31	31
M004	6906	2	2	0	17	4	19		7046	7060	21	7	127	0	1	6		0	0	127	0	0	0	1	2	4	3		0	0
M001.1	6915	0	0	6	4	0	4		7049	7053	4	0	126	0	1	7		0	0	126	0	0	1	0	4	3	3		3	3
M001.2	6893	0	0	6	38	0	38		7023	7064	44	3	120	0	0	6		0	0	120	0	0	0	0	3	3	3		3	3
M005.1	6933	0	0	9	0	0	0		7094	7094	0	0	152	0	1	6		0	0	152	0	0	1	1	3	3	3		0	0
M005.2	6933	0	0	9	0	0	0		7094	7094	0	0	152	0	2	7		0	0	152	0	0	2	1	4	3	3		0	0
M006	6917	0	2	8	6	0	8		7061	7061	6	6	127	0	0	4		0	0	127	0	0	0	0	3	1	3		0	0
M007	6934	0	0	12	3	0	3		7074	7075	3	2	126	0	3	10		0	0	126	0	0	3	2	5	5	3		3	3
M010	6925	0	0	7	4	0	4		7059	7063	4	0	127	0	0	2		0	0	127	0	0	0	0	1	1	3		0	0
M011	6926	0	0	10	11	0	11		7096	7101	11	6	153	0	0	6		0	0	153	0	0	0	0	3	3	3		1	1
M012	6909	0	1	10	3	0	4		7050	7050	3	3	126	0	0	7		0	0	126	0	0	0	0	4	3	3		0	0
M013	6925	0	2	5	0	0	2		7059	7059	0	0	127	0	1	3		0	0	127	0	0	0	1	1	2	3		2	2
M014	6928	0	0	2	0	0	0		7057	7057	0	0	127	0	0	2		0	0	127	0	0	0	0	1	1	3		1	1
M015	6923	4	2	0	1	1	3		7057	7058	2	1	127	0	0	3		0	0	127	0	0	0	0	2	1	3		0	0
M016.1	6920	0	0	10	6	0	6		7059	7063	6	2	126	0	2	6		0	0	126	0	0	2	2	3	3	3		1	0
M017	6928	0	1	11	3	0	4		7101	7096	3	8	152	0	2	6		0	0	152	0	0	1	2	3	3	3		4	1
M018	6890	0	0	9	6	0	6		7025	7026	6	5	120	0	1	7		0	0	120	0	0	0	1	3	4	3		24	23
M019	6914	0	0	9	6	0	6		7056	7058	6	4	126	0	1	7		0	0	126	0	0	1	0	4	3	3		0	0
M020	6918	0	0	9	0	0	0		7055	7053	0	2	126	0	1	6		0	0	126	0	0	1	1	3	3	3		25	25
M021	6907	0	0	9	5	0	5		7046	7047	5	4	126	0	2	7		0	0	126	0	0	1	2	3	4	3		0	0
M022	6935	0	0	4	10	0	10		7101	7102	10	9	153	0	1	5		0	0	153	0	0	1	0	3	2	3		2	2
M024	6932	0	0	9	11	0	11		7098	7105	11	4	152	0	1	6		0	0	152	0	0	1	1	3	3	3		0	0
M025	6927	0	0	12	0	0	0		7068	7068	0	0	126	0	0	10		0	0	126	0	0	0	0	5	5	3		1	1
