mstone_id	pass_to_pass	pass_to_fail	fail_to_pass	fail_to_fail	none_to_pass	none_to_fail	none/fail_to_pass		total_before	total_after	new_total	removed_total	skip_total	to_skip_total	flaky_total	error_total		skip_to_pass	skip_to_fail	skip_to_skip	pass_to_skip	fail_to_skip	flaky_start	flaky_end	errors_start	errors_end	attempts		total_patched_tests	collected_patched_tests
milestone_seed_7ff1fd2_1	5205	0	2	93	28	0	30		5328	5356	28	0	28	0	1	0		0	0	28	0	0	0	1	0	0	3		29	28
milestone_seed_e9a3625_1_sub-01	5237	0	0	81	2	0	2		5346	5348	2	0	28	0	1	0		0	0	28	0	0	0	1	0	0	3		27	2
milestone_seed_e9a3625_1_sub-02	5193	0	0	113	60	29	60		5334	5423	89	0	28	0	1	0		0	0	28	0	0	1	1	0	0	3		69	59
milestone_seed_e9a3625_1_sub-03	5258	0	21	115	1	13	22		5422	5436	14	0	28	0	1	0		0	0	28	0	0	0	1	0	0	3		85	70
milestone_seed_be3778b_1	5256	0	1	56	8	1	9		5341	5350	9	0	28	0	1	0		0	0	28	0	0	1	1	0	0	3		26	20
milestone_seed_56c7fc1_1	5208	0	3	80	0	0	3		5319	5319	0	0	28	0	1	0		0	0	28	0	0	0	1	0	0	3		77	70
milestone_seed_fba5938_1	5216	0	1	94	0	0	1		5339	5339	0	0	28	0	1	0		0	0	28	0	0	1	1	0	0	3		45	44
milestone_seed_aa99601_1	5326	0	4	8	0	0	4		5366	5366	0	0	28	0	1	0		0	0	28	0	0	1	0	0	0	3		198	198
milestone_seed_f59af37_1	5222	5	9	54	8	0	17		5328	5326	8	10	28	0	0	0		0	0	28	0	0	0	0	0	0	3		36	25
milestone_seed_8bb4d44_1	5180	0	6	108	2	0	8		5322	5324	2	0	28	0	0	0		0	0	28	0	0	0	0	0	0	3		96	96
milestone_seed_e662c19_1	5217	0	6	80	9	0	15		5331	5340	9	0	28	0	1	0		0	0	28	0	0	1	1	0	0	3		46	21
milestone_seed_3762d40_1	5327	0	8	12	0	0	8		5375	5375	0	0	28	0	1	0		0	0	28	0	0	1	1	0	0	3		4	3
milestone_seed_599112e_1	5209	0	15	67	0	0	15		5319	5319	0	0	28	0	1	2		0	0	28	0	0	1	1	1	1	3		30	20
maintenance_ui_ux	5238	0	29	103	0	0	29		5404	5404	0	0	34	0	1	0		0	0	34	0	0	1	1	0	0	3		9	8
feature_enhancements	5251	0	10	47	3	0	13		5336	5339	3	0	28	0	1	0		0	0	28	0	0	1	1	0	0	3		61	51
milestone_seed_3f47487_1	5239	0	16	50	7	0	23		5333	5340	7	0	28	0	1	0		0	0	28	0	0	0	1	0	0	3		164	164
maintenance_bug_fixes	5257	0	2	54	0	0	2		5341	5341	0	0	28	0	1	0		0	0	28	0	0	1	1	0	0	3		5	4
milestone_seed_05df321_1	5272	0	0	40	0	0	0		5340	5340	0	0	28	0	1	0		0	0	28	0	0	1	1	0	0	3		7	7
