mstone_id	pass_to_pass	pass_to_fail	fail_to_pass	fail_to_fail	none_to_pass	none_to_fail	none/fail_to_pass		total_before	total_after	new_total	removed_total	skip_total	to_skip_total	flaky_total	error_total		skip_to_pass	skip_to_fail	skip_to_skip	pass_to_skip	fail_to_skip	flaky_start	flaky_end	errors_start	errors_end	attempts		total_patched_tests	collected_patched_tests
milestone_002	1658	0	0	30	155	0	155		1704	1859	155	0	16	0	0	0		0	0	16	0	0	0	0	0	0	3		11	11
milestone_006	1063	0	7	19	0	0	7		1104	1104	0	0	15	0	0	0		0	0	15	0	0	0	0	0	0	1		32	32
milestone_001	2156	0	0	3	97	0	97		2177	2274	97	0	18	0	0	0		0	0	18	0	0	0	0	0	0	3		96	96
milestone_003_sub-01	910	0	4	18	608	32	612		948	1591	643	0	16	0	0	0		0	0	16	0	0	0	0	0	0	1		16	16
milestone_003_sub-02	1957	2	0	40	95	3	95		2433	2114	99	418	16	0	5	11		0	0	16	0	0	5	0	7	4	3		15	15
milestone_003_sub-03	1150	0	0	18	450	2	450		1184	1639	455	0	16	0	0	0		0	0	16	0	0	0	0	0	0	1		103	103
milestone_003_sub-04	1543	0	12	25	81	0	93		1598	1679	81	0	18	0	0	0		0	0	18	0	0	0	0	0	0	1		0	0
milestone_004	1222	0	4	4	0	0	4		1246	1246	0	0	16	0	0	0		0	0	16	0	0	0	0	0	0	1		42	42
milestone_007	1412	0	0	2	9	0	9		1432	1441	9	0	18	0	0	0		0	0	18	0	0	0	0	0	0	1		9	9
milestone_005																0									0	0			57	0
milestone_008																0									0	0			0	0
