mstone_id	pass_to_pass	pass_to_fail	fail_to_pass	fail_to_fail	none_to_pass	none_to_fail	none/fail_to_pass		total_before	total_after	new_total	removed_total	skip_total	to_skip_total	flaky_total	error_total		skip_to_pass	skip_to_fail	skip_to_skip	pass_to_skip	fail_to_skip	flaky_start	flaky_end	errors_start	errors_end	attempts		total_patched_tests	collected_patched_tests
milestone_G01_48bca0a	5331	0	2	12	0	0	2		5378	5378	0	0	33	0	0	0		0	0	33	0	0	0	0	0	0	3		1	1
milestone_G04_1ddae02	5337	0	11	28	0	0	11		5409	5409	0	0	33	0	0	0		0	0	33	0	0	0	0	0	0	3		11	11
milestone_M02_parser	5310	0	6	94	0	0	6		5443	5443	0	0	33	0	0	0		0	0	33	0	0	0	0	0	0	3		14	14
milestone_core_development.1	4938	8	25	462	0	0	25		5466	5466	0	0	33	0	0	0		0	0	33	0	0	0	0	0	0	1		24	23
milestone_core_development.2	4949	10	17	475	3	0	20		5484	5487	3	0	33	0	0	0		0	0	33	0	0	0	0	0	0	3		35	21
milestone_G02_da9615f	5348	0	2	21	0	0	2		5404	5404	0	0	33	0	0	0		0	0	33	0	0	0	0	0	0	3		0	0
milestone_G04_ca0e961	5340	0	11	38	0	0	11		5422	5422	0	0	33	0	0	0		0	0	33	0	0	0	0	0	0	3		12	12
milestone_G05_0b8531e	5318	0	0	74	9	0	9		5425	5434	9	0	33	0	0	0		0	0	33	0	0	0	0	0	0	3		6	6
milestone_M08_docs	5301	0	3	75	0	0	3		5412	5412	0	0	33	0	0	0		0	0	33	0	0	0	0	0	0	3		3	3
milestone_core_development.3	5295	0	14	121	0	0	14		5472	5463	0	9	33	0	0	0		0	0	33	0	0	0	0	0	0	3		30	30
milestone_G05_be6e868	5347	0	0	80	0	0	0		5460	5460	0	0	33	0	0	0		0	0	33	0	0	0	0	0	0	3		7	7
milestone_core_development.4	4814	0	35	415	6	0	41		5297	5303	6	0	33	0	0	0		0	0	33	0	0	0	0	0	0	3		43	43
milestone_G02_a647707	4856	0	3	416	0	0	3		5308	5308	0	0	33	0	0	0		0	0	33	0	0	0	0	0	0	3		2	2
