mstone_id	pass_to_pass	pass_to_fail	fail_to_pass	fail_to_fail	none_to_pass	none_to_fail	none/fail_to_pass		total_before	total_after	new_total	removed_total	skip_total	to_skip_total	flaky_total	error_total		skip_to_pass	skip_to_fail	skip_to_skip	pass_to_skip	fail_to_skip	flaky_start	flaky_end	errors_start	errors_end	attempts		total_patched_tests	collected_patched_tests
M06	34669	0	5	219	0	0	5		37666	37666	0	0	2773	0	0	0		96	0	2677	0	0	0	0	0	0	3		3	3
M11	22896	0	20	104	0	0	20		24757	24757	0	0	1737	0	0	0		0	0	1737	0	0	0	0	0	0	3		8	8
M12.1	21446	1	872	773	2	0	874		24472	24474	2	0	1351	29	0	0		0	0	1351	0	29	0	0	0	0	3		50	50
M12.2	21771	0	71	585	1	0	72		23817	23817	1	1	1389	0	0	0		0	0	1389	0	0	0	0	0	0	3		59	59
M01	19839	0	10	301	0	0	10		21168	21167	0	1	1017	0	0	0		0	0	1017	0	0	0	0	0	0	3		2	2
M03	20001	0	0	209	2	0	2		21256	21258	2	0	1046	0	0	0		24	0	1022	0	0	0	0	0	0	3		4	4
M12.3	23768	0	17	445	0	0	17		26079	26050	0	29	1820	0	0	0		0	0	1820	0	0	0	0	0	0	3		19	19
M12.4	20284	0	104	186	0	0	104		21591	21591	0	0	1017	0	0	0		0	0	1017	0	0	0	0	0	0	3		15	15
M12.5	22281	0	47	557	0	0	47		24284	24260	0	24	1369	6	0	0		0	0	1369	0	6	0	0	0	0	3		19	18
M13	19856	0	13	526	1	0	14		21420	21421	1	0	1025	0	0	0		0	0	1025	0	0	0	0	0	0	3		24	24
M04	20960	0	1	120	0	0	1		24003	24003	0	0	2922	0	0	0		0	0	2922	0	0	0	0	0	0	3		2	2
M17	19924	0	6	64	2	0	8		20958	20960	2	0	964	0	0	0		0	0	964	0	0	0	0	0	0	3		6	6
