workspace,milestone_id,title,category,is_graded,patch_src_loc,patch_total_loc,src_additions,src_deletions,all_additions,all_deletions,touched_src_files,touched_test_files,srs_word_count,dag_topological_position,dag_position_fraction,dag_layer,dag_layer_fraction,dag_indegree,dag_outdegree,raw_fail_to_pass,raw_none_to_pass,raw_pass_to_pass,invalid_fail_to_pass,invalid_none_to_pass,invalid_pass_to_pass,effective_fail_to_pass,effective_none_to_pass,effective_pass_to_pass,effective_functional_tests,effective_total_tests,intrinsic_difficulty_raw,continuous_difficulty_raw,intrinsic_difficulty_score,continuous_difficulty_score,difficulty_band
BurntSushi_ripgrep_14.1.1_15.0.0,maintenance_fixes_1_sub-01,Critical Bug Fixes,Maintenance,True,158,232,122,36,191,41,7,1,1175,1,0.0,0,0.0,0,1,2,2,1093,0,0,0,2,2,1093,4,1097,-0.6715316703886987,-0.7622599685274971,43.28,42.38,central
BurntSushi_ripgrep_14.1.1_15.0.0,maintenance_fixes_1_sub-02,Minor Fixes and Enhancements,Maintenance,True,141,215,112,29,181,34,17,1,2030,2,0.08333333333333333,1,0.25,1,2,7,0,1095,0,0,0,7,0,1095,7,1102,-0.720747745216537,-0.7122447146072458,42.79,42.88,central
BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_119407d_1_sub-01,Windows Hyperlink Path Performance,Platform,False,53,87,27,26,61,26,1,0,566,3,0.16666666666666666,0,0.0,0,1,0,0,1083,0,0,0,0,0,1083,0,1083,-1.6125827501150212,-1.4524811422584987,33.87,35.48,lower
BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_2924d0c_1,Add min_depth option to WalkBuilder,Feature,True,51,96,47,4,92,4,1,0,666,4,0.25,0,0.0,0,2,0,1,1093,0,0,0,0,1,1093,1,1094,-1.5869392781881102,-1.4115459587689083,34.13,35.88,lower
BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_292bc54_1,JSON Output Replace Support,Feature,True,117,119,109,8,111,8,3,1,478,5,0.3333333333333333,0,0.0,0,2,1,0,1083,0,0,0,1,0,1083,1,1084,-0.9683245076762741,-0.9032124642694267,40.32,40.97,central
BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_5f5da48_1_sub-01,Glob Nested Alternates Support,Feature,True,65,80,37,28,51,29,2,0,879,6,0.4166666666666667,0,0.0,0,1,9,0,1084,0,0,0,9,0,1084,9,1093,-1.2839529399049334,-1.133116122257238,37.16,38.67,lower
BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_5f5da48_1_sub-02,Glob Unclosed Class Toggle,Feature,True,119,185,108,11,168,17,3,1,911,7,0.5,1,0.25,1,1,1,9,1102,0,0,0,1,9,1102,10,1112,-0.8229095339094691,-0.6808297106028803,41.77,43.19,central
BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_a6e0be3_1_sub-01,Max Matches Searcher Migration Core,Breaking,True,240,434,142,98,313,121,6,1,946,8,0.5833333333333334,0,0.0,0,2,0,8,1089,0,0,0,0,8,1089,8,1097,-0.31232646899754635,-0.3243374242873019,46.88,46.76,central
BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_8c6595c_1,Fix performance bugs with -A/--after-context flag,Quality,True,27,33,18,9,22,11,3,0,780,9,0.6666666666666666,1,0.25,1,1,2,0,1096,0,0,0,2,0,1096,2,1098,-2.0235674824548444,-1.5757953347617424,29.76,34.24,lower
BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_a6e0be3_1_sub-02,Max Matches Printer Cleanup,Breaking,True,108,118,5,103,10,108,3,0,544,10,0.75,1,0.25,2,1,0,0,1102,0,0,0,0,0,1102,0,1102,-1.0797309108808144,-0.8085919244583898,39.2,41.91,central
BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_119407d_1_sub-02,Hyperlink Alias System Restructuring,Platform,True,276,396,219,57,277,119,6,0,1209,11,0.8333333333333334,2,0.5,6,1,0,0,1091,0,0,0,0,0,1091,0,1091,-0.3755926589306161,-0.16563009874901896,46.24,48.34,central
BurntSushi_ripgrep_14.1.1_15.0.0,maintenance_style_1,Code Style and Refactoring,Maintenance,False,196,229,71,125,87,142,38,5,805,12,0.9166666666666666,3,0.75,3,1,0,0,1099,0,0,0,0,0,1099,0,1099,-0.6325194910204877,-0.27740545096469665,43.67,47.23,central
BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_b610d1c_1,Fix global gitignore bug with absolute paths,Quality,True,172,174,161,11,163,11,4,1,508,13,1.0,4,1.0,2,0,1,0,1104,0,0,0,1,0,1104,1,1105,-0.6770484170639568,-0.22425912507354154,43.23,47.76,central
apache_dubbo_dubbo-3.3.3_dubbo-3.3.6,M003.1,Mutiny Module Infrastructure and Build Configuration,Feature,True,358,458,337,21,437,21,7,0,379,1,0.0,0,0.0,0,1,0,1,6954,0,0,11,0,1,6943,1,6944,0.0657521485194454,-0.13933707411943397,50.66,48.61,central
apache_dubbo_dubbo-3.3.3_dubbo-3.3.6,M003.2,Mutiny Core Abstractions and Publisher/Subscriber,Feature,False,455,455,455,0,455,0,6,0,1267,2,0.08333333333333333,1,0.5,1,1,0,5,6920,5,0,6,0,0,6914,0,6914,0.19292613994620364,0.1197764652436684,51.93,51.2,central
apache_dubbo_dubbo-3.3.3_dubbo-3.3.6,M003.3,Mutiny Calls Handlers and Code Generator,Feature,True,543,543,543,0,543,0,7,0,1595,3,0.16666666666666666,2,1.0,1,0,18,5,6930,0,4,2,18,1,6928,19,6947,0.5565871488263742,0.5547229215491276,55.57,55.55,central
apache_dubbo_dubbo-3.3.3_dubbo-3.3.6,M004,Enhanced Server-Sent Events (SSE) Support,Feature,True,497,522,452,45,477,45,13,0,873,4,0.25,0,0.0,0,1,2,17,6902,2,16,6,0,1,6896,1,6897,0.31249725564491837,0.12183298366559288,53.12,51.22,central
apache_dubbo_dubbo-3.3.3_dubbo-3.3.6,M001.1,Spring Security OAuth2 Serialization Support,Platform,True,500,500,496,4,496,4,12,0,1571,5,0.3333333333333333,1,0.5,1,1,0,4,6911,0,0,12,0,4,6899,4,6903,0.3874431251876087,0.33559918815742323,53.87,53.36,central
apache_dubbo_dubbo-3.3.3_dubbo-3.3.6,M001.2,Spring 6 Security Module Split and UTF-8 Standardization,Platform,True,385,448,337,48,400,48,28,0,551,6,0.4166666666666667,2,1.0,1,0,0,38,6890,27,8,6,0,3,6884,3,6887,0.172918836071528,0.3249912554680401,51.73,53.25,central
apache_dubbo_dubbo-3.3.3_dubbo-3.3.6,M006,RadixTree Multi-Method REST Path Routing Fix,Feature,True,175,222,171,4,218,4,6,0,779,7,0.5,0,0.0,0,0,2,6,6914,0,6,6,2,0,6908,2,6910,-0.44260530886434823,-0.4050851640085733,45.57,45.95,central
apache_dubbo_dubbo-3.3.3_dubbo-3.3.6,M011,Logging FQCN Infrastructure Enhancement,Quality,True,271,271,193,78,193,78,9,0,1438,8,0.5833333333333334,0,0.0,0,0,0,11,6923,6,0,6,0,5,6917,5,6922,-0.06010703125747102,-0.08393940033702899,49.4,49.16,central
